epoch,accuracy,loss,lr,RAM,gpu_mem,modality_weights
224/350,95.09892,10.88891,0.00029,33.27/755.17G,59.87G,0.3465063  0.65349364
225/350,95.14388,10.8829,0.00028,33.61/755.17G,59.87G,0.34640837 0.65359163
226/350,95.34622,10.87303,0.00028,34.07/755.17G,59.87G,0.34637147 0.65362847
227/350,95.07644,10.89164,0.00028,33.68/755.17G,59.87G,0.34632042 0.65367955
228/350,95.43615,10.85863,0.00027,33.84/755.17G,59.87G,0.3462524 0.6537476
229/350,95.39119,10.85536,0.00027,33.40/755.17G,59.87G,0.34619054 0.6538094
230/350,95.41367,10.84149,0.00026,33.03/755.17G,59.87G,0.34611252 0.6538875
231/350,95.52608,10.85013,0.00026,33.85/755.17G,59.87G,0.34608036 0.65391964
232/350,95.72842,10.83992,0.00026,34.07/755.17G,59.87G,0.34594777 0.6540522
233/350,95.27878,10.86091,0.00025,33.95/755.17G,59.87G,0.34588113 0.6541189
234/350,95.59353,10.82972,0.00025,33.42/755.17G,59.87G,0.34583238 0.65416765
235/350,95.43615,10.84203,0.00024,33.56/755.17G,59.87G,0.34580052 0.65419954
236/350,95.63849,10.8222,0.00024,33.32/755.17G,59.87G,0.34575808 0.654242
237/350,95.93076,10.82078,0.00024,33.31/755.17G,59.87G,0.34567308 0.65432686
238/350,95.25629,10.85137,0.00023,33.84/755.17G,59.87G,0.3455863 0.6544137
239/350,95.61601,10.82743,0.00023,33.29/755.17G,59.87G,0.34549275 0.6545072
240/350,95.45863,10.83115,0.00022,29.93/755.17G,59.87G,0.34540212 0.6545979
241/350,96.08813,10.80457,0.00022,29.28/755.17G,59.87G,0.34540293 0.6545971
242/350,95.23381,10.83547,0.00022,29.10/755.17G,59.87G,0.34542677 0.6545732
243/350,95.9982,10.81487,0.00021,29.30/755.17G,59.87G,0.3453956  0.65460443
244/350,95.88579,10.82508,0.00021,29.46/755.17G,59.87G,0.34530452 0.6546955
245/350,95.59353,10.80303,0.00021,29.57/755.17G,59.87G,0.34522852 0.65477145
246/350,95.36871,10.79027,0.0002,29.83/755.17G,59.87G,0.34518674 0.65481323
247/350,95.39119,10.80807,0.0002,29.19/755.17G,59.87G,0.3451362  0.65486383
248/350,95.61601,10.82451,0.0002,28.93/755.17G,59.87G,0.34507006 0.65492994
249/350,95.45863,10.82977,0.00019,28.99/755.17G,59.87G,0.3450005 0.6549995
250/350,95.48112,10.8191,0.00019,29.50/755.17G,59.87G,0.34499517 0.65500486
251/350,95.48112,10.81603,0.00018,33.74/755.17G,59.87G,0.34494886 0.6550512
252/350,95.61601,10.80166,0.00018,34.31/755.17G,59.87G,0.3448716 0.6551284
253/350,95.41367,10.78597,0.00018,34.41/755.17G,59.87G,0.3448274 0.6551726
254/350,95.97572,10.77038,0.00017,34.28/755.17G,59.87G,0.3448304 0.6551696
255/350,95.70594,10.78955,0.00017,34.14/755.17G,59.87G,0.3448025  0.65519756
